IID	Population	Super_Population	sex	sim_age	PC1	PC2	PC3	PC4	PC5	sim_pheno_dict	sim_pheno_quant	score1	score2	score3
HG00096	GBR	EUR	1	74	-0.0119648	0.0254377	0.0079415	-0.0210734	-0.00184514	0	-1.12468324441365	-0.11018356908	-0.746396216	-2.3908857742
HG00097	GBR	EUR	2	52	-0.0122562	0.0256272	0.00785074	-0.0214233	-0.00106964	0	0.232959454686469	0.016902436466	-0.725432228	-2.0465538448
HG00099	GBR	EUR	2	58	-0.0123227	0.0254436	0.00779781	-0.0207617	-0.000958936	0	0.618155247177663	0.040083036146	-0.729464148	-1.851095233
HG00100	GBR	EUR	2	54	-0.0120538	0.0259843	0.00751506	-0.0217761	-0.00320737	0	-0.705926896155444	-0.18870078324	-0.850453684	-2.8807639572
HG00101	GBR	EUR	1	42	-0.0122382	0.0256484	0.00835984	-0.0218173	-0.00311881	0	0.210066655978246	-0.075204606178	-0.663438464	-1.6389437174
HG00102	GBR	EUR	2	36	-0.0123512	0.0255323	0.00790186	-0.0214281	-0.00259449	0	0.765246543898264	-0.010853033598	-0.74062578	-2.5058486318
HG00103	GBR	EUR	1	25	-0.0120121	0.0249294	0.00774357	-0.0197914	-0.000797121	0	-0.175076138068984	-0.070514892884	-0.812557628	-2.0291507408
HG00104	GBR	EUR	2	46	-0.0121483	0.02528	0.00748217	-0.0200673	0.000233404	0	1.11563496658679	0.0025755436616	-0.755753464	-1.042170807
HG00105	GBR	EUR	1	27	-0.0118606	0.0251135	0.00785136	-0.020957	-0.00181504	0	-0.678829556538594	-0.033671520542	-0.802883016	-2.143524964
HG00106	GBR	EUR	2	51	-0.0124353	0.0259105	0.00716817	-0.0203936	-0.00152339	0	-1.31208206573747	-0.18986014976	-1.028153572	-2.2596586922
HG00107	GBR	EUR	1	65	-0.0126188	0.0260326	0.00867993	-0.0213018	-0.00380603	1	1.65265803454011	-0.022506181536	-0.678853572	-1.4182442066
HG00108	GBR	EUR	1	51	-0.0121723	0.0250302	0.00788671	-0.0216451	-0.000942519	0	-0.396685372526093	-0.09426120958	-0.868122276	-2.308182641
HG00109	GBR	EUR	1	43	-0.0124471	0.0251747	0.0083887	-0.0224496	-0.00195922	0	0.0673700891439267	-0.09680710442	-0.791539748	-1.735383786
HG00110	GBR	EUR	2	48	-0.0123022	0.0253671	0.00817704	-0.0221661	-0.00216869	0	-0.254167987797675	-0.1261084526	-0.803022736	-2.9449123104
HG00111	GBR	EUR	2	44	-0.0124366	0.0250641	0.00750857	-0.0214557	-0.00119572	0	0.881027133637814	0.28901627546	-0.403455472	0.10030202212
HG00112	GBR	EUR	1	24	-0.0123179	0.0247395	0.00749635	-0.0213505	-0.00103744	0	0.833374538712107	0.08865872652	-0.597618368	-2.8915833134
HG00113	GBR	EUR	1	52	-0.0124276	0.025805	0.0085328	-0.0222569	-0.00214596	0	-1.82984513193518	-0.08219134594	-0.835527596	-2.882325118
HG00114	GBR	EUR	1	47	-0.0120725	0.0248764	0.00772025	-0.0214694	7.84711e-05	0	-0.81698053393023	-0.072750585666	-0.6908156	-2.8251060154
HG00115	GBR	EUR	1	77	-0.0121499	0.0259193	0.00683171	-0.0214642	-0.0039987	0	-0.339333928178639	-0.074919391918	-0.800413964	-1.332329177
HG00116	GBR	EUR	1	32	-0.0119568	0.0232801	0.00663317	-0.0198647	0.00166055	0	0.431852798335474	-0.05421468759	-0.804595584	-2.8044014402
HG00117	GBR	EUR	1	56	-0.0123038	0.0257059	0.0088492	-0.0220583	-0.00149373	0	0.101390378157302	-0.037919866872	-0.644093232	-0.8104216048
HG00118	GBR	EUR	2	50	-0.0124936	0.0259014	0.00740381	-0.0211226	-0.0028836	1	1.42080245660498	0.019845612054	-0.565315104	-1.5505269916
